Final Size: 1320

Character: Times of appearance in text

이: 12407 의: 11296 다: 10315 에: 9654  는: 8034
됨: 38    템: 38    셰: 38    낸: 37    멘: 37
혀: 37    밍: 37    슴: 37    듣: 36    셈: 36
숙: 36    폰: 36    끼: 36    벽: 36    맡: 36
졸: 35    젤: 35    둔: 35    롭: 35    왜: 35
힌: 34    슷: 34    융: 34    렘: 34    핀: 34
홀: 33    옛: 33    겼: 33    삭: 33    햄: 33
랄: 32    펜: 32    떤: 32    돼: 32    탐: 32
킬: 31    궁: 31    젠: 31    닉: 31    떨: 31
렀: 30    넓: 30    겐: 30    염: 30    톤: 30
곤: 30    짓: 30    팀: 30    켄: 29    낙: 29
컨: 29    눈: 29    떻: 29    풀: 29    멕: 29
겸: 28    옮: 28    션: 28    곧: 28    헛: 28
꺼: 28    값: 27    룬: 27    뉘: 27    뮤: 27
윌: 27    셔: 27    촉: 26    벤: 26    짐: 26
깊: 26    헨: 25    즐: 25    펼: 25    끓: 25
빽: 25    텍: 25    렬: 24    램: 24    솔: 24
렁: 24    묘: 24    엽: 23    삶: 23    앤: 23
랐: 23    홈: 23    옹: 22    혈: 22    젊: 22
뤄: 22    샌: 22    찍: 22    듯: 22    읍: 22
쇠: 22    캘: 22    튀: 21    빚: 21    컵: 21
뉜: 21    씩: 21    빼: 21    붉: 20    섰: 20
웹: 20    얀: 20    앗: 20    큼: 20    짜: 20
콤: 20    뿌: 20    빨: 20    묵: 20    첨: 20
쉬: 20    끄: 19    봄: 19    컬: 19    엇: 19
잇: 19    딸: 19    쌍: 19    캅: 19    숲: 18
튼: 18    뇌: 18    켓: 18    셀: 18    랍: 18
끊: 18    펠: 18    컴: 18    쥬: 18    늦: 17
쓴: 17    뛰: 17    듭: 17    벗: 17    뜨: 17
녹: 17    빅: 17    쉽: 16    캔: 16    멜: 16
뀌: 16    탓: 16    훼: 16    묻: 16    싶: 16
됩: 15    릉: 15    흘: 15    뷔: 15    탑: 15
팽: 15    렵: 15    캠: 15    킹: 15    덤: 15
먹: 15    빛: 15    뒷: 15    봐: 15    넨: 15
컫: 14    괄: 14    녕: 14    촬: 14    혐: 14
숭: 14    훨: 14    씬: 14    뤼: 14    랭: 13
럴: 13    똑: 13    녁: 13    냥: 13    낱: 13
낼: 13    촌: 13    썼: 13    쓸: 13    넣: 13
납: 13    몸: 13    웅: 13    툼: 13    첸: 13
샨: 13    놀: 13    슝: 13    겔: 12    곱: 12
궈: 12    굳: 12    셜: 12    꽃: 12    퓨: 12
긋: 12    롱: 12    셨: 12    낭: 12    탱: 12
춘: 12    ㆍ: 12    꼼: 12    룡: 12    좀: 11
싼: 11    슐: 11    꼽: 11    섯: 11    덮: 11
섞: 11    옴: 11    쌓: 11    댐: 11    퀸: 11
닷: 11    늪: 11    펴: 11    돕: 11    꼬: 11
툰: 11    첼: 11    펑: 11    궐: 10    쥐: 10
